feature_set_descr,feature_set_name,feature_set
REG,+REG -sen -err -special,"age_scaled, decile_score_scaled, priors_count_scaled"
SEN,-reg +SEN -err -special,"sex_Female, race_African-American, race_Caucasian"
SPECIAL,-reg -sen -err +SPECIAL,"Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
REG + SEN,+REG +SEN -err -special,"age_scaled, decile_score_scaled, priors_count_scaled, sex_Female, race_African-American, race_Caucasian"
REG + ERR,+REG -sen +ERR -special,"age_scaled, decile_score_scaled, priors_count_scaled, errors"
REG + SPECIAL,+REG -sen -err +SPECIAL,"age_scaled, decile_score_scaled, priors_count_scaled, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
SEN + ERR,-reg +SEN +ERR -special,"sex_Female, race_African-American, race_Caucasian, errors"
SEN + SPECIAL,-reg +SEN -err +SPECIAL,"sex_Female, race_African-American, race_Caucasian, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
ERR + SPECIAL,-reg -sen +ERR +SPECIAL,"errors, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
REG + SEN + ERR,+REG +SEN +ERR -special,"age_scaled, decile_score_scaled, priors_count_scaled, sex_Female, race_African-American, race_Caucasian, errors"
REG + SEN + SPECIAL,+REG +SEN -err +SPECIAL,"age_scaled, decile_score_scaled, priors_count_scaled, sex_Female, race_African-American, race_Caucasian, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
REG + ERR + SPECIAL,+REG -sen +ERR +SPECIAL,"age_scaled, decile_score_scaled, priors_count_scaled, errors, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
SEN + ERR + SPECIAL,-reg +SEN +ERR +SPECIAL,"sex_Female, race_African-American, race_Caucasian, errors, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
REG + SEN + ERR + SPECIAL,+REG +SEN +ERR +SPECIAL,"age_scaled, decile_score_scaled, priors_count_scaled, sex_Female, race_African-American, race_Caucasian, errors, Shap_age_scaled, Shap_decile_score_scaled, Shap_priors_count_scaled"
